musica,artista,album,duracao_min,popularidade,uri
wave a little light,mystic diversions,wave a little light,5.28,33,spotify:track:2DhOdVznjxoIR5WrCzvFLA
sympathique,pink martini,sympathique,2.8,57,spotify:track:1sKpay0q1lsH8RgafNzdI1
blinding lights,the weeknd,after hours,3.33,91,spotify:track:0VjIjW4GlUZAMYd2vXMi3b
lose control,teddy swims,i've tried everything but therapy (part 1),3.51,92,spotify:track:17phhZDn6oGtzMe56NuWvj
soledad sensual,mystic diversions,wave a little light,3.97,22,spotify:track:1TunVyyHWRfKAwiFYjMeng
wonderwall - remastered,oasis,(what's the story) morning glory? [remastered],4.31,81,spotify:track:5qqabIl2vWzo9ApSC317sa
oceans (onde os meus pés podem falhar) - cover,clã joão garcia,oceans (onde os meus pés podem falhar) [cover],5.35,21,spotify:track:25rbWEvT0zRrwFAPSw6m8Z
me as matado el corazon,mystic diversions,wave a little light,3.95,43,spotify:track:0G5lFZfW7kygbMxLljnZ3V
idrk,annie rose,idrk,3.35,7,spotify:track:6FaoSHSjHv92ZbZq92AvoA
o anzol,rádio macau,o elevador da glória,3.19,48,spotify:track:00xcrNRhDx1HDdpfhnnDhI
"one of the girls (with jennie, lily rose depp)",the weeknd,the idol episode 4 (music from the hbo original series),4.08,94,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW
if the world was ending (feat. julia michaels),jp saxe,hold it together (deluxe),3.49,72,spotify:track:4bp5G6x1SXMQW4X9DbCCCp
don't be a fool,mystic diversions,wave a little light,4.13,8,spotify:track:63GD0fjnXNeNmzFdLLQ0hR
the night we met,lord huron,strange trails,3.47,92,spotify:track:3hRV0jL3vUpRrcy398teAU
save your tears,the weeknd,after hours,3.59,88,spotify:track:5QO79kh1waicV47BqGRL3g
sideways,gordo,diamante,4.23,73,spotify:track:02YMpD1xbZZzpZbuZNvmD7
angel soul,mystic diversions,angel soul,5.87,36,spotify:track:1dwn40VWz18gPAfluewIvx
is there someone else?,the weeknd,dawn fm,3.32,84,spotify:track:0mL82sxCRjrs3br407IdJh
wanna fxck - lost tapes 2022,tory lanez,wanna fxck (lost tapes 2022),2.67,43,spotify:track:42cO8qdboMxJPtgOSNtygx
training season,dua lipa,radical optimism,3.49,83,spotify:track:5b5cPscqVEMChvDqscVw26
still,niall horan,heartbreak weather,4.2,63,spotify:track:4Zwt0IkpzDOW2u0YfV94TK
bad feeling (oompa loompa),jagwar twin,sidequest,2.23,68,spotify:track:49mdbuKOwG31eUYtAunzf4
pink dolphin sunset (feat. tee),tory lanez,alone at prom,3.54,70,spotify:track:6GGmABM6AMwMzEhK7szqJT
cinque ottavi,mystic diversions,wave a little light,5.28,8,spotify:track:1DTeXhi9rCbvebcKB3Czxy
everywhere,niall horan,heartbreak weather,2.82,58,spotify:track:2NRpuYVJPYhxC8xyutxkoL
no judgement,niall horan,heartbreak weather,2.94,59,spotify:track:2sGF7DBXvL2GjkbG606m1G
dawn fm,the weeknd,dawn fm,1.6,57,spotify:track:6krYS8KtmNAYyb5uTZiYW4
small talk,niall horan,heartbreak weather,3.3,61,spotify:track:2928yIGFV4enculPwmmGSe
teardrops,liam payne,teardrops,2.91,61,spotify:track:2SYovto91rjt4Dh5w330JJ
put a little love on me,niall horan,heartbreak weather,3.74,67,spotify:track:7LyBwug9tJgbaEzRCqtY78
heartbreak weather,niall horan,heartbreak weather,3.33,62,spotify:track:3jf3c9EOFam6Q15sho0XWw
bend the rules,niall horan,heartbreak weather,3.91,52,spotify:track:5MhKHO4FYmpfDryQX9408O
apocalypse,cigarettes after sex,cigarettes after sex,4.84,91,spotify:track:1oAwsWBovWRIp7qLMGPIet
dear patience,niall horan,heartbreak weather,3.24,55,spotify:track:0gwfuYQz0TauOajxH2V2Cn
soul in the city,lounge groove avenue,dayton way,2.87,38,spotify:track:2USpRiR5iR5XEkbbfzBdYL
cross your mind,niall horan,heartbreak weather,3.81,56,spotify:track:7B0jvve829GGdU5kFttQTY
nice to meet ya,niall horan,heartbreak weather,2.65,63,spotify:track:0DrFTaAX2srXPkuag35djb
new angel,niall horan,heartbreak weather,3.15,53,spotify:track:3lMIgIO9HkPxnAZGmtTdpT
opera house,cigarettes after sex,cigarettes after sex,6.08,73,spotify:track:2Ddfm2NQwTRsf7YVlt258S
john wayne,cigarettes after sex,cigarettes after sex,4.3,77,spotify:track:4xbN7giFhdGbSQTPyG178F
san francisco,niall horan,heartbreak weather,3.2,54,spotify:track:5iSkdzgBBtAAkaqULGPZUd
black and white,niall horan,heartbreak weather,3.22,67,spotify:track:7rpNuuoMbid56XkDsx2FjE
arms of a stranger,niall horan,heartbreak weather,2.67,53,spotify:track:63MU2FswcPQclQMxK17Fkb
k.,cigarettes after sex,cigarettes after sex,5.33,87,spotify:track:2xGjfbXZnI8uQDhukoQURQ
truly,cigarettes after sex,cigarettes after sex,4.06,69,spotify:track:6i2XzqnaxvpNVTUw8EjPMU
young & dumb,cigarettes after sex,cigarettes after sex,4.56,68,spotify:track:2XIX01WCkNRqL1gQ5OBgJt
sweet,cigarettes after sex,cigarettes after sex,4.86,86,spotify:track:2KhrPRV0V1FS2l4eQMJUWt
each time you fall in love,cigarettes after sex,cigarettes after sex,4.84,72,spotify:track:4cV9zzKtPtW4i0FhnEwazU
sunsetz,cigarettes after sex,cigarettes after sex,3.58,88,spotify:track:0yuAWlxq59xT3agQ965OxE
cantiga da burra,sebastião antunes & quadrilha,com um abraço,2.98,41,spotify:track:2JtavmnE74r8PxG2Lw23sa
